,Company,Symbol,TwitterHandle
1,Moderna,MRNA,@moderna_tx or Moderna or $MRNA
2,PayPal,PYPL,@PayPal or PayPal or $PYPL
3,Zoom,ZM,@zoom_us or $ZM
