,Company,Symbol,TwitterHandle1,TwitterHandle2
1,Apple Inc,AAPL,@Apple,
2,Microsoft Corp,MSFT,@Microsoft,
3,Amazon.com Inc,AMZN,@amazon,
4,Tesla Inc,TSLA,@Tesla,
5,Facebook Inc,FB,@Facebook,
6,Alphabet Inc,GOOG,@AlphabetInc,@Google
7,NVIDIA Corp,NVDA,@nvidia,
8,PayPal Holdings Inc,PYPL,@PayPal,
9,Netflix Inc,NFLX,@netflix,
10,Intel Corp,INTC,@intel,
