,Company,Symbol,TwitterHandle
1,United Airlines Holdings Inc.,UAL,@united or UnitedAirlines or $UAL
2,Marriott International Inc. Class A,MAR,@Marriott or Marriot or $MAR
3,Walgreens Boots Alliance Inc.,WBA,@walgreens or Walgreens or $WBA
4,Western Digital Corp.,WDC,@westerndigital or WesternDigital or $WDC
5,Exelon Corp.,EXC,@Exelon or Exelon or $EXC
